cdr_id,msisdn,event_type,start_time,duration_sec,bytes_used,destination,cell_id
CDR-0000001,966500000001,VOICE,2026-06-24T08:01:12,212,0,966500000005,RUH-0431
CDR-0000002,966500000001,DATA,2026-06-24T08:05:40,0,18874368,APN-internet,RUH-0431
CDR-0000003,966500000002,SMS,2026-06-24T08:09:55,0,0,966500000007,RUH-0118
CDR-0000004,966500000003,VOICE,2026-06-24T08:11:03,47,0,966500000001,JED-2207
CDR-0000005,966500000003,DATA,2026-06-24T08:15:21,0,5242880,APN-internet,JED-2207
CDR-0000006,966500000006,DATA,2026-06-24T08:20:00,0,734003200,APN-internet,DMM-0905
CDR-0000007,966500000007,VOICE,2026-06-24T08:22:48,365,0,966500000002,RUH-0431
CDR-0000008,966500000002,DATA,2026-06-24T08:25:31,0,41943040,APN-internet,RUH-0118
CDR-0000009,966500000005,SMS,2026-06-24T08:30:17,0,0,966500000003,JED-2207
CDR-0000010,966500000008,VOICE,2026-06-24T08:33:09,12,0,966500000004,DMM-0905
CDR-0000011,966500000001,DATA,2026-06-24T08:40:55,0,104857600,APN-internet,RUH-0431
CDR-0000012,966500000006,DATA,2026-06-24T08:44:12,0,209715200,APN-internet,DMM-0905
CDR-0000013,966500000007,DATA,2026-06-24T08:48:30,0,629145600,APN-internet,RUH-0431
CDR-0000014,966500000002,VOICE,2026-06-24T08:51:44,98,0,966500000005,RUH-0118
CDR-0000015,966500000003,SMS,2026-06-24T08:55:02,0,0,966500000001,JED-2207
